QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Joe Burrow (43727235),Bucky Irving (43727359),Tyler Allgeier (43727395),Justin Jefferson (43727635),Tee Higgins (43727647),Jameson Williams (43727653),Dallas Goedert (43728233),Chris Godwin Jr. (43727683),Lions (43728528)
Jordan Love (43727244),Chase Brown (43727333),Jordan Mason (43727367),Amon-Ra St. Brown (43727633),Christian Watson (43727655),Chris Godwin Jr. (43727683),Tucker Kraft (43728227),Kenny Gainwell (43727377),Bills (43728530)
Caleb Williams (43727239),Jonathan Taylor (43727329),MarShawn Lloyd (43727399),Tee Higgins (43727647),Tetairoa McMillan (43727651),Jordan Addison (43727659),Juwan Johnson (43728241),Rome Odunze (43727677),Eagles (43728529)
Justin Herbert (43727240),Rico Dowdle (43727375),Kaleb Johnson (43727439),Chris Olave (43727639),Emeka Egbuka (43727649),Ladd McConkey (43727657),Trey McBride (43728217),Rome Odunze (43727677),Ravens (43728533)
Jordan Love (43727244),Jaylen Warren (43727369),MarShawn Lloyd (43727399),Justin Jefferson (43727635),Chris Olave (43727639),Tee Higgins (43727647),Tucker Kraft (43728227),Christian Watson (43727655),Eagles (43728529)
Baker Mayfield (43727242),Saquon Barkley (43727337),MarShawn Lloyd (43727399),Ja'Marr Chase (43727631),Nico Collins (43727637),Emeka Egbuka (43727649),Mark Andrews (43728237),Juwan Johnson (43728241),Ravens (43728533)
Justin Herbert (43727240),James Cook III (43727331),Derrick Henry (43727341),Tee Higgins (43727647),Emeka Egbuka (43727649),Brian Thomas Jr. (43727671),Kyle Pitts Sr. (43728223),Tre' Harris (43727747),Bills (43728530)
Justin Herbert (43727240),Saquon Barkley (43727337),Braelon Allen (43727409),Tee Higgins (43727647),Ladd McConkey (43727657),Michael Wilson (43727681),Trey McBride (43728217),Tre' Harris (43727747),Packers (43728532)
Caleb Williams (43727239),Kenny Gainwell (43727377),Braelon Allen (43727409),Ja'Marr Chase (43727631),Tetairoa McMillan (43727651),Terry McLaurin (43727663),Colston Loveland (43728219),Luther Burden III (43727673),Steelers (43728527)
Jared Goff (43727241),Kenny Gainwell (43727377),Rico Dowdle (43727375),Ja'Marr Chase (43727631),Chris Olave (43727639),Brian Thomas Jr. (43727671),Sam LaPorta (43728229),MarShawn Lloyd (43727399),Bills (43728530)
Jalen Hurts (43727237),Jahmyr Gibbs (43727325),MarShawn Lloyd (43727399),Nico Collins (43727637),Luther Burden III (43727673),Stefon Diggs (43824688),Sam LaPorta (43728229),Dallas Goedert (43728233),Lions (43728528)
Jared Goff (43727241),Bucky Irving (43727359),Jordan Mason (43727367),Amon-Ra St. Brown (43727633),Chris Olave (43727639),Tee Higgins (43727647),Sam LaPorta (43728229),MarShawn Lloyd (43727399),Eagles (43728529)
Joe Burrow (43727235),Bucky Irving (43727359),MarShawn Lloyd (43727399),Ja'Marr Chase (43727631),Drake London (43727643),Christian Watson (43727655),Mark Andrews (43728237),Luther Burden III (43727673),Bears (43728536)
Justin Herbert (43727240),Derrick Henry (43727341),Rico Dowdle (43727375),DeVonta Smith (43727641),Jameson Williams (43727653),Ladd McConkey (43727657),Sam LaPorta (43728229),MarShawn Lloyd (43727399),Jaguars (43728526)
Jared Goff (43727241),Chase Brown (43727333),Rico Dowdle (43727375),Amon-Ra St. Brown (43727633),Chris Olave (43727639),Ladd McConkey (43727657),Sam LaPorta (43728229),Harold Fannin Jr. (43728231),Bears (43728536)
Jared Goff (43727241),De'Von Achane (43727335),MarShawn Lloyd (43727399),Ja'Marr Chase (43727631),Christian Watson (43727655),Ladd McConkey (43727657),Sam LaPorta (43728229),Marvin Harrison Jr. (43727693),Eagles (43728529)
Jalen Hurts (43727237),Jahmyr Gibbs (43727325),MarShawn Lloyd (43727399),DeVonta Smith (43727641),Terry McLaurin (43727663),Chris Godwin Jr. (43727683),Dallas Goedert (43728233),Kaleb Johnson (43727439),Chargers (43728525)
Jalen Hurts (43727237),De'Von Achane (43727335),Bucky Irving (43727359),Ja'Marr Chase (43727631),DJ Moore (43727667),Stefon Diggs (43824688),Tucker Kraft (43728227),Dallas Goedert (43728233),Lions (43728528)
Joe Burrow (43727235),David Montgomery (43727353),Quinshon Judkins (43727363),Ja'Marr Chase (43727631),Alec Pierce (43727665),Michael Wilson (43727681),Sam LaPorta (43728229),Chris Godwin Jr. (43727683),Lions (43728528)
Caleb Williams (43727239),Bucky Irving (43727359),MarShawn Lloyd (43727399),Tetairoa McMillan (43727651),Jordan Addison (43727659),Rome Odunze (43727677),Trey McBride (43728217),Colston Loveland (43728219),Jaguars (43728526)
